,title,price
0,Beer and Honey Shampoo bar,6.0
1,Cedarwood Shaving Soap,5.0
2,Chamomile and Lavender Shampoo and Body Bar,5.0
3,Fir Needle and Mint Shampoo and Body Bar,5.0
4,Mint Chocolate Face and Body Bar,5.0
5,Mint Chocolate Face and Body Bar- Vegan,5.0
6,Orange and Honey Shampoo and Body Bar,5.0
7,"Rosemary, Lemongrass and Lavender Face and Body Bar",5.0
8,Body Butter - Butter Up & Settle Down,7.0
9,Body Butter - Get Up & Glow,7.0
10,Shampoochie - Dog Shampoo,7.0
11,Bamboo Shaving Brush,4.5
12,Bamboo Soap Dish,3.5
13,Soap Mitten,4.5
14,Gift Box- Small,25.0
15,Gift boxes,37.0
